Country_Clean,Country_Source,Average_screen time
South Africa,South Africa,10.46
Philippines,Philippines,10.27
Brazil,Brazil,10.19
Colombia,Colombia,10.03
Argentina,Argentina,9.38
Malaysia,Malaysia,9.1
Thailand,Thailand,9.06
Mexico,Mexico,8.55
Indonesia,Indonesia,8.37
United Arab Emirates,UAE,8.36
Taiwan Province of China,Taiwan,8.07
Saudi Arabia,Saudi Arabia,8.05
Egypt,Egypt,8.02
Turkey,Turkey,8
Portugal,Portugal,7.56
Russia,Russia,7.5
Israel,Israel,7.35
Singapore,Singapore,7.28
India,India,7.18
Romania,Romania,7.09
United States,USA,7.04
Hong Kong S.A.R. of China,Hong Kong,6.46
Canada,Canada,6.45
Poland,Poland,6.4
Vietnam,Vietnam,6.38
Ireland,Ireland,6.31
New Zealand,New Zealand,6.23
Sweden,Sweden,6.21
Australia,Australia,6.13
United Kingdom,UK,6.12
Italy,Italy,6.1
Greece,Greece,6.06
Spain,Spain,6.04
Switzerland,Switzerland,5.45
Belgium,Belgium,5.44
Austria,Austria,5.42
France,France,5.34
South Korea,South Korea,5.29
Germany,Germany,5.22
China,China,5.15
Netherlands,Netherlands,5.11
Denmark,Denmark,5.03
Japan,Japan,4.25
